Brand,StoreName,Latitude,Longitude,Address
McDonald's,McDonald's Sri Gombak,3.237646,101.699194,"No. 1 Jalan SG. 1/6, Taman Sri Gombak, 68100, Batu Caves , Selangor, Malaysia"
McDonald's,McDonald's Jalan Tebrau DT,1.5520891,103.8013338,"Lot PTD 68950, Batu 7 1/2, Jalan Kota Tinggi, 81100, Johor Bahru, Johor, Malaysia"
McDonald's,McDonald's Petron Seremban-KL Highway DT,3.0642041,101.7034589,"8KM, KL-Seremban Highway, 57000, Seri Kembangan, Kuala Lumpur, Malaysia"
McDonald's,McDonald's Prangin Mall,5.4134929,100.3321148,"Lot 33-1-40, Prangin Mall, Jalan Dr Lim Chwee Leong, 10000, George Town, Pulau Pinang, Malaysia"
McDonald's,McDonald's Sunway Mentari,3.0749076,101.6121146,"No. 30 Sunway Mentari, Ground Floor Dataran Mentari, Jalan PJS 8/2, 46150, Petaling Jaya, Selangor, Malaysia"
McDonald's,McDonald's Teluk Cempedak DT,3.8121823,103.3630739,"Kawasan Rekreasi Teluk Cempedak, Jalan Teluk Cempedak, 25100, Kuantan, Pahang, Malaysia"
McDonald's,McDonald's Taman Sri Andalas,3.0161087,101.443895,"No. 2, Jalan Sri Sarawak 18, Taman Sri Andalas, 41200, Klang, Selangor, Malaysia"
McDonald's,McDonald's Section 3 Shah Alam DT,3.073281,101.518461,"No.4, Jalan RU 3/94, Sect 3, 40000, Shah Alam, Selangor, Malaysia"
McDonald's,McDonald's Subang DT,3.0790778,101.5861824,"No.1 Jalan SS15/3A, 47500, Subang Jaya, Selangor, Malaysia"
McDonald's,McDonald's Lotuss Puchong DT,3.0344552,101.6164672,"Lot No. 7 & 9, Ground Floor, Tesco Hypermarket, Jalan Bandar 3, Pusat Bandar Puchong, 47100, Puchong, Selangor, Malaysia"
McDonald's,McDonald's Senawang DT,2.7012645,101.9829697,"Lot 2726, Jalan Taman Komersil Senawang 1, Taman Komersil Senawang, 70450, Senawang, Negeri Sembilan, Malaysia"
